"school_id","school_name","address","nearest_park_distance_m"
421,"Städt. Fachakademie für Sozialpädagogik München Mitte","Ruppertstraße 3",1878.4007003367867
261,"Städtische Ricarda-Huch-Realschule, Zweigstelle","Karl-Theodor-Straße 90",1880.7945977399488
253,"Private Griechische Schulen „Sokrates“ ""ΣΩΚΡΑΤΗΣ""","Zamdorfer Straße 26",1883.5369153120796
423,"Städt. Fachschule für Grundschulkindbetreuung","Ruppertstraße 3",1912.6191038762486
422,"Städt. Fachakademie für Heilpädagogik","Ruppertstraße 3",1913.7017507498301
198,"Städtisches Sophie-Scholl-Gymnasium",NULL,1918.8257944148822
378,"Städtische Berufsschule für Fertigungstechnik","Deroystraße 1",1921.6680691065897
280,"Wilhelm-Hausenstein-Gymnasium",NULL,1924.3760719102202
352,"Parzivâl-Schule","Ackermannstraße 83",1924.7209484881776
218,"Grund- und Mittelschule an der Torquato-Tasso-Straße","Torquato-Tasso-Straße 38",1927.0852574380294
114,"Mittelschule Wörthstraße",NULL,1935.3704877542812
265,"Berufliches Schulzentrum an der Deroystraße",NULL,1948.3944664119258
229,"Grund- u. Mittelschule Guardinistraße","Guardinistraße 60",1953.0005114698447
398,"Städtische Berufsschule für Metall-Design-Mechatronik","Deroystraße 1",1959.6572602032347
379,"Berufliches Schulzentrum Alois Senefelder","Pranckhstraße 2",1974.605999142364
13,"ESM Grundschule","Auguste-Kent-Platz 3",1975.1251728934883
149,"Wittelsbacher-Gymnasium","Marsplatz 1",1991.6661689512196
326,"Private Realschule Gut Warnberg","Warnbergstraße 1",1993.8039085930777
174,"Studienseminar Albertinum",NULL,1996.790957289662
38,"Grundschule am Bayernplatz",NULL,1998.8101332590263
35,"Gymnasium Trudering","Friedenspromenade 64",1999.2068198118955
71,"Lycée Français Jean Renoir","Ungsteiner Straße 50",1999.4331387775132
18,"Dante-Gymnasium München","Wackersberger Straße 61",2001.3978203593952
36,"Klenze-Gymnasium München","Wackersberger Straße 59",2005.5087636806131
5,"Mittelschule an der Cincinnatistraße 63","Cincinnatistraße 63",2005.565530565302
14,"Grund- und Mittelschule am Winthirplatz 6","Winthirplatz 6",2006.1013704530171
